Beamline	B10E	HeXI							SUMMARY:	AI	AO	DI	DO	BUS	CPU	COM	SPR
									TOTAL MODULES:	1
									TOTAL IO:	32
									TOTAL USED:	19	0	66	96
									TOTAL SPARE	13	0
									% SPARE	0.40625		0.3125	0
Chassis	0
	SLOT	MODULE	Description	TYPE	Channels	Chassis & Slot		SHEET NAME
	1	X-CPU_31	Processor 31	CPU	0	001
	2	X-CPU_31	Processor 31	CPU	0
	3	X-COM_01	Communications	COM	0
	4	X-COM_01	Communications	COM	0
	5	X-AI_32_02	Analogue Input 32 Channels	AI	32
	6	X-DI_32_05	Digital Input 32 Channels	DI	32
	7	X-DI_32_05	Digital Input 32 Channels	DI	32
	8	X-DI_32_05	Digital Input 32 Channels	DI	32
	9	X-SPARE	Spare Slot	SPR	0
	10	X-SPARE	Spare Slot	SPR	0
	11	X-SPARE	Spare Slot	SPR	0
	12	X-SPARE	Spare Slot	SPR	0
	13	X-DO_24_01A	Digital Output 24 Channels	DO	24
	14	X-DO_24_01A	Digital Output 24 Channels	DO	24
	15	X-DO_24_01A	Digital Output 24 Channels	DO	24
	16	X-DO_24_01A	Digital Output 24 Channels	DO	24
	17	X-SPARE	Spare Slot	SPR	0
	18	X-SPARE	Spare Slot	SPR	0
Chassis	1
	SLOT	MODULE	Description	TYPE	Channels	Chassis & Slot
	1		0	0	0	101
	2		0	0	0
	3		0	0	0
	4		0	0	0
	5		0	0	0
	6		0	0	0
	7		0	0	0
	8		0	0	0
	9		0	0	0
	10		0	0	0
	11		0	0	0
	12		0	0	0
	13		0	0	0
	14		0	0	0
	15		0	0	0
	16		0	0	0
	17		0	0	0
	18		0	0	0
